angle,count_rot,count_ref,count_diff,mean_iou,matched,unmatched_ref,unmatched_rot,centroid_disp_median,area_ratio_mean
0,8,8,0,1.0,8,0,0,0.0,1.0
10,7,8,-1,0.2966165400002824,7,1,0,30.870585055405265,1.034498071326545
20,10,8,2,0.312763205070742,4,4,6,34.91541561819594,1.0516677144864974
30,8,8,0,0.2767943742871168,3,5,5,31.284040850968793,0.9573084291318811
40,10,8,2,0.38406895328187957,3,5,7,26.555080747426153,0.9858555366414233
50,8,8,0,0.27499327188864914,3,5,5,41.43344074362435,1.0951571565632288
60,9,8,1,0.22953180282624058,2,6,7,35.105885695736774,1.1750978691932008
70,9,8,1,0.15462519668326394,3,5,6,47.21256555306256,1.184696790093063
80,7,8,-1,0.11296412838263059,1,7,6,48.03692853799142,0.7548995286529397
90,8,8,0,0.30437951527269785,2,6,6,30.359502258967275,1.0383528702972136
100,9,8,1,0.38477639955360426,2,6,7,25.712500944665123,0.9753254712949431
110,10,8,2,0.36352466751128193,2,6,8,22.22151250265049,0.8672926266033747
120,9,8,1,0.26349611503493287,3,5,6,29.32095539961359,1.4400027115927365
130,11,8,3,0.32369788537960115,2,6,9,23.800692276685663,1.2262549320447969
140,11,8,3,0.16793893129770993,1,7,10,41.11692905187694,0.9431253451131971
150,10,8,2,0.2782430671877908,1,7,9,29.98141190955122,0.8961899503036996
160,8,8,0,0.0,0,8,8,,
170,11,8,3,0.3542416452442159,1,7,10,18.435483564144178,0.5920217588395286
180,8,8,0,0.0,0,8,8,,
190,7,8,-1,0.0,0,8,7,,
200,10,8,2,0.0,0,8,10,,
210,8,8,0,0.0,0,8,8,,
220,10,8,2,0.0,0,8,10,,
230,9,8,1,0.1878918952744725,2,6,7,38.27987412996342,1.483236447157569
240,9,8,1,0.11606640405177265,1,7,8,43.33653973328885,0.7597604259094942
250,10,8,2,0.31591796875,1,7,9,31.40077643124932,0.7934782608695652
260,7,8,-1,0.36651092612359504,2,6,5,27.656799451208567,1.048080715628625
270,8,8,0,0.30122454649324065,2,6,6,32.27572423262559,1.0695929932108732
280,9,8,1,0.12395729062395729,1,7,8,45.20033609327413,1.2117531188443862
290,10,8,2,0.16815404622908764,2,6,8,48.88159298936375,1.0322500346711225
300,9,8,1,0.26198769258094196,2,6,7,37.39901944905818,1.033205173604706
310,11,8,3,0.23640929926696622,4,4,7,45.31358373083006,1.2552795804452779
320,11,8,3,0.4117167839933159,4,4,7,20.785404980701017,1.2575079353997993
330,10,8,2,0.21885973801696687,4,4,6,36.68137108318016,1.2513356282938406
340,8,8,0,0.22862967247468985,2,6,6,36.92907033286673,1.126861300698943
350,11,8,3,0.31021784990962636,7,1,4,31.191962403982316,1.0436815611309458
